19:33:41.516 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for CONNECTEDSEGMENTS
19:33:41.527 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for POSLENGTH
19:33:41.527 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for ROUTESENSOR
19:33:41.528 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for SEMAPHORENEIGHBOR
19:33:41.528 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for SWITCHSET
19:33:41.528 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for SWITCHMONITORED
19:33:42.524 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:42.532 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:42.639 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:42.647 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:42.648 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:42.862 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:42.863 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:42.863 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:42.863 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:42.863 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:43.142 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:43.142 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:43.142 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 0 matches.
19:33:43.142 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:43.148 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:43.152 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:43.152 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:43.152 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:43.152 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:43.158 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:43.158 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:43.158 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:43.158 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:43.158 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:43.172 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:43.173 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:43.173 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 0 matches.
19:33:43.173 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:43.173 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:43.174 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:43.175 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:43.175 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:43.175 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:43.186 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:43.186 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:43.186 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:43.186 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:43.186 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:43.214 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:43.215 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:43.215 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 0 matches.
19:33:43.215 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:43.215 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:43.219 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:43.220 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:43.221 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:43.222 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:43.235 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:43.235 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:43.235 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:43.235 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:43.235 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:43.415 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:43.417 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:43.417 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 0 matches.
19:33:43.417 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:43.418 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:43.420 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:43.421 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:43.422 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:43.423 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:43.447 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:43.448 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:43.448 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:43.448 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
